,AGE4,INCOME,D6,D8,D9C,D18,D26,MARITAL,EDUC4,RACETHNICITY,GENDER,HHSIZE,AGE4_recode,D6_recode,D8_recode,D9C_recode,D18_recode,D26_recode,MARITAL_recode,EDUC4_recode,RACETHNICITY_recode
45,45-59,"$75,000 to $84,999",Very good,Once every 2 or 3 weeks,Never,Self-employed full-time,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Male,6,3,4,4,1,7,2,3,3,1
46,60+,"$100,000 to $124,999",Very good,Everyday,Never,Employed full-time,Urban and mostly residential,Married,BA or above,"Asian, non-Hispanic",Male,2,4,4,7,1,2,2,3,4,5
47,60+,"$100,000 to $124,999",Good,Once a week,Rarely,Retired and not working at all,Urban and mostly residential,Married,Some college,"White, non-Hispanic",Male,2,4,3,5,2,4,2,3,3,1
48,30-44,"$5,000 to $9,999",Fair,Once a week,Often,Unemployed and looking for work,Rural area,Never married,BA or above,"White, non-Hispanic",Male,1,2,2,5,4,6,1,2,4,1
49,30-44,"$10,000 to $14,999",Fair,Everyday,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,BA or above,"White, non-Hispanic",Male,1,2,2,7,3,2,2,2,4,1
50,45-59,"$40,000 to $49,999",Good,Several times a week,Sometimes,Unemployed and looking for work,"Suburban with a mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Male,2,3,3,6,3,6,2,3,3,1
51,45-59,"$50,000 to $59,999",Very good,Several times a week,Never,Self-employed full-time,"Urban near mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Male,3,3,4,6,1,7,2,3,3,1
52,45-59,"$150,000 to $174,999",Good,Several times a week,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,4,3,3,6,1,2,2,3,4,1
53,30-44,"$85,000 to $99,999",Good,Once a week,Often,Employed full-time,Small town,Married,Some college,"White, non-Hispanic",Male,5,2,3,5,4,2,1,3,3,1
54,60+,"$100,000 to $124,999",Good,Several times a week,Never,Retired and not working at all,Urban and mostly residential,Married,Some college,"Black, non-Hispanic",Male,4,4,3,6,1,4,2,3,3,4
55,30-44,"$100,000 to $124,999",Good,Everyday,Rarely,Self-employed full-time,Urban and mostly residential,Married,Some college,Hispanic,Female,6,2,3,7,2,7,2,3,3,2
56,30-44,"$85,000 to $99,999",Very good,Once a week,Rarely,Employed full-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,3,2,4,5,2,2,2,3,4,1
57,30-44,"$25,000 to $29,999",Very good,Everyday,Sometimes,Self-employed full-time,Small town,Never married,Some college,"Black, non-Hispanic",Female,5,2,4,7,3,7,1,2,3,4
58,60+,"$60,000 to $74,999",Good,Several times a week,Sometimes,Retired and not working at all,Small town,Divorced,HS graduate or equivalent,"White, non-Hispanic",Female,2,4,3,6,3,4,1,6,2,1
59,45-59,"$30,000 to $34,999",Fair,Once a month,Sometimes,Unemployed and looking for work,Suburban and mostly residential,Married,No HS diploma,"Black, non-Hispanic",Male,2,3,2,3,3,6,2,3,1,4
60,30-44,"$40,000 to $49,999",Very good,Several times a week,Sometimes,Unemployed and looking for work,"Urban near mix of offices, apartments and shops",Divorced,No HS diploma,Hispanic,Male,1,2,4,6,3,6,2,6,1,2
61,18-29,"$125,000 to $149,999",Excellent,Once a month,Never,Employed full-time,Suburban and mostly residential,Never married,BA or above,"Asian, non-Hispanic",Male,3,1,5,3,1,2,2,2,4,5
62,60+,"$40,000 to $49,999",Good,Everyday,Rarely,Employed part-time,Suburban and mostly residential,Divorced,Some college,"White, non-Hispanic",Male,1,4,3,7,2,3,2,6,3,1
63,18-29,"$40,000 to $49,999",Very good,Several times a week,Sometimes,Or are you not in the labor force for other reasons,"Urban near mix of offices, apartments and shops",Never married,HS graduate or equivalent,"White, non-Hispanic",Female,5,1,4,6,3,5,2,2,2,1
64,30-44,"$40,000 to $49,999",Very good,Once every 2 or 3 weeks,Never,Employed full-time,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Female,4,2,4,4,1,2,2,3,3,1
65,60+,"$30,000 to $34,999",Very good,Several times a week,Never,Retired and not working at all,Urban and mostly residential,Widowed,Some college,"White, non-Hispanic",Female,1,4,4,6,1,4,2,1,3,1
66,45-59,"$125,000 to $149,999",Excellent,Several times a week,Sometimes,Retired and not working at all,"Urban near mix of offices, apartments and shops",Never married,BA or above,"White, non-Hispanic",Male,1,3,5,6,3,4,2,2,4,1
67,30-44,"$200,000 or more",Very good,Everyday,Never,Employed full-time,Urban and mostly residential,Married,BA or above,"2+, non-Hispanic",Male,3,2,4,7,1,2,2,3,4,3
68,45-59,"$85,000 to $99,999",Good,Once a week,Sometimes,Unemployed and looking for work,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,2,3,3,5,3,6,2,3,4,1
69,60+,"$85,000 to $99,999",Very good,Several times a week,Never,Retired and not working at all,"Suburban with a mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Male,2,4,4,6,1,4,2,3,3,1
70,30-44,"$60,000 to $74,999",Good,Once a week,Rarely,Employed full-time,Suburban and mostly residential,Married,BA or above,Hispanic,Male,3,2,3,5,2,2,2,3,4,2
71,60+,"$100,000 to $124,999",Very good,Once every 2 or 3 weeks,Often,Employed part-time,Rural area,Divorced,HS graduate or equivalent,"White, non-Hispanic",Female,2,4,4,4,4,3,1,6,2,1
72,60+,"$40,000 to $49,999",Very good,Everyday,Sometimes,Employed full-time,Urban and mostly residential,Divorced,BA or above,"White, non-Hispanic",Female,2,4,4,7,3,2,2,6,4,1
73,18-29,"$125,000 to $149,999",Excellent,Everyday,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,BA or above,"Asian, non-Hispanic",Female,5,1,5,7,1,2,2,2,4,5
74,45-59,"$40,000 to $49,999",Good,Several times a week,Never,Self-employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,3,3,3,6,1,7,2,3,4,1
75,18-29,"$10,000 to $14,999",Very good,Once a week,Sometimes,Employed part-time,Urban and mostly residential,Never married,Some college,"White, non-Hispanic",Male,1,1,4,5,3,3,2,2,3,1
76,30-44,"$35,000 to $39,999",Good,Everyday,Sometimes,Self-employed full-time,"Urban near mix of offices, apartments and shops",Living with partner,Some college,Hispanic,Male,3,2,3,7,3,7,2,4,3,2
77,45-59,"$60,000 to $74,999",Very good,Everyday,Never,Employed full-time,Small town,Never married,BA or above,"Black, non-Hispanic",Female,4,3,4,7,1,2,1,2,4,4
78,60+,"$200,000 or more",Excellent,Everyday,Rarely,Retired and not working at all,Urban and mostly residential,Divorced,Some college,"White, non-Hispanic",Female,1,4,5,7,2,4,2,6,3,1
79,45-59,"$10,000 to $14,999",Good,Several times a week,Rarely,Employed part-time,Rural area,Living with partner,Some college,"White, non-Hispanic",Male,2,3,3,6,2,3,1,4,3,1
80,60+,"$85,000 to $99,999",Very good,Several times a week,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Divorced,BA or above,"White, non-Hispanic",Male,1,4,4,6,3,2,2,6,4,1
81,60+,"$50,000 to $59,999",Excellent,Once a week,Rarely,Retired and not working at all,"Urban near mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Female,2,4,5,5,2,4,2,3,4,1
82,60+,"$60,000 to $74,999",Very good,Several times a week,Sometimes,Employed full-time,Suburban and mostly residential,Married,HS graduate or equivalent,Hispanic,Male,2,4,4,6,3,2,2,3,2,2
83,30-44,"$5,000 to $9,999",Excellent,Several times a week,Never,Or are you not in the labor force for other reasons,"Suburban with a mix of offices, apartments and shops",Never married,Some college,"Black, non-Hispanic",Male,1,2,5,6,1,5,2,2,3,4
84,45-59,"$100,000 to $124,999",Good,Once every 2 or 3 weeks,Rarely,Employed full-time,Suburban and mostly residential,Married,HS graduate or equivalent,"Black, non-Hispanic",Male,5,3,3,4,2,2,2,3,2,4
85,60+,"$40,000 to $49,999",Very good,Once every 2 or 3 weeks,Never,Employed full-time,"Urban near mix of offices, apartments and shops",Married,BA or above,Hispanic,Male,4,4,4,4,1,2,2,3,4,2
86,60+,"$30,000 to $34,999",Excellent,Several times a week,Rarely,Unemployed and looking for work,"Urban near mix of offices, apartments and shops",Never married,BA or above,"White, non-Hispanic",Male,1,4,5,6,2,6,2,2,4,1
87,60+,"$10,000 to $14,999",Very good,Several times a week,Never,Retired and not working at all,Small town,Married,Some college,"Black, non-Hispanic",Female,2,4,4,6,1,4,1,3,3,4
88,30-44,"$75,000 to $84,999",Excellent,Several times a week,Rarely,Employed full-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,5,2,5,6,2,2,2,3,4,1
89,45-59,"$60,000 to $74,999",Good,Several times a week,Rarely,Unemployed and looking for work,"Suburban with a mix of offices, apartments and shops",Separated,HS graduate or equivalent,"White, non-Hispanic",Male,4,3,3,6,2,6,2,5,2,1
90,60+,"$85,000 to $99,999",Very good,Once a week,Rarely,Or are you not in the labor force for other reasons,Urban and mostly residential,Never married,Some college,Hispanic,Female,4,4,4,5,2,5,2,2,3,2
91,30-44,"$100,000 to $124,999",Excellent,Several times a week,Never,Employed full-time,"Urban near mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,2,2,5,6,1,2,2,3,4,1
92,18-29,"$40,000 to $49,999",Good,Once every 2 or 3 weeks,Sometimes,Employed full-time,Small town,Married,HS graduate or equivalent,"White, non-Hispanic",Female,2,1,3,4,3,2,1,3,2,1
93,18-29,"$125,000 to $149,999",Excellent,Several times a week,Sometimes,Or are you not in the labor force for other reasons,"Urban near mix of offices, apartments and shops",Never married,Some college,"White, non-Hispanic",Male,4,1,5,6,3,5,2,2,3,1
94,30-44,"$15,000 to $19,999",Very good,Several times a week,Rarely,Employed part-time,Urban and mostly residential,Separated,Some college,"Black, non-Hispanic",Female,2,2,4,6,2,3,2,5,3,4
95,30-44,"$50,000 to $59,999",Good,Several times a week,Never,Employed part-time,Urban and mostly residential,Living with partner,BA or above,"White, non-Hispanic",Female,4,2,3,6,1,3,2,4,4,1
96,30-44,"$60,000 to $74,999",Excellent,Several times a week,Rarely,Employed full-time,Suburban and mostly residential,Divorced,BA or above,"White, non-Hispanic",Male,1,2,5,6,2,2,2,6,4,1
97,60+,"$85,000 to $99,999",Very good,Once every 2 or 3 weeks,Rarely,Retired and not working at all,Suburban and mostly residential,Married,BA or above,"Asian, non-Hispanic",Female,2,4,4,4,2,4,2,3,4,5
99,45-59,"$75,000 to $84,999",Very good,Once every 2 or 3 weeks,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,4,3,4,4,1,2,2,3,4,1
100,60+,"$85,000 to $99,999",Excellent,Everyday,Never,Retired and not working at all,Rural area,Married,Some college,"White, non-Hispanic",Female,2,4,5,7,1,4,1,3,3,1
101,45-59,"$15,000 to $19,999",Excellent,Everyday,Never,Employed full-time,Suburban and mostly residential,Married,HS graduate or equivalent,Hispanic,Male,3,3,5,7,1,2,2,3,2,2
102,30-44,"$125,000 to $149,999",Very good,Several times a week,Never,Employed full-time,Suburban and mostly residential,Married,BA or above,Hispanic,Male,4,2,4,6,1,2,2,3,4,2
103,18-29,"$75,000 to $84,999",Good,Never,Sometimes,Unemployed and looking for work,Urban and mostly residential,Never married,HS graduate or equivalent,"Asian, non-Hispanic",Female,4,1,3,1,3,6,2,2,2,5
104,30-44,"$100,000 to $124,999",Good,Several times a week,Rarely,Self-employed full-time,Small town,Married,Some college,"Black, non-Hispanic",Male,4,2,3,6,2,7,1,3,3,4
105,60+,"$50,000 to $59,999",Very good,Several times a week,Rarely,Retired and not working at all,Suburban and mostly residential,Married,HS graduate or equivalent,"White, non-Hispanic",Male,2,4,4,6,2,4,2,3,2,1
106,18-29,"$15,000 to $19,999",Good,Once a week,Rarely,Employed part-time,Urban and mostly residential,Never married,Some college,"Black, non-Hispanic",Female,6,1,3,5,2,3,2,2,3,4
107,18-29,"$25,000 to $29,999",Fair,Several times a week,Never,Unemployed and looking for work,"Suburban with a mix of offices, apartments and shops",Never married,HS graduate or equivalent,Hispanic,Male,4,1,2,6,1,6,2,2,2,2
108,45-59,"$100,000 to $124,999",Good,Once a week,Sometimes,Employed full-time,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Male,5,3,3,5,3,2,2,3,3,1
109,60+,"$50,000 to $59,999",Good,Less than monthly,Rarely,Retired and not working at all,Rural area,Married,BA or above,"White, non-Hispanic",Male,2,4,3,2,2,4,1,3,4,1
110,45-59,"$85,000 to $99,999",Good,Several times a week,Rarely,Employed full-time,Rural area,Divorced,Some college,"White, non-Hispanic",Male,2,3,3,6,2,2,1,6,3,1
111,18-29,"$75,000 to $84,999",Excellent,Several times a week,Sometimes,Self-employed part-time,"Urban near mix of offices, apartments and shops",Never married,BA or above,"White, non-Hispanic",Male,1,1,5,6,3,1,2,2,4,1
112,18-29,"$40,000 to $49,999",Good,Less than monthly,Often,Employed part-time,Suburban and mostly residential,Never married,Some college,"2+, non-Hispanic",Female,2,1,3,2,4,3,2,2,3,3
113,60+,"$50,000 to $59,999",Very good,Several times a week,Never,Retired and not working at all,Small town,Married,BA or above,"White, non-Hispanic",Female,2,4,4,6,1,4,1,3,4,1
114,30-44,"$30,000 to $34,999",Excellent,Everyday,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Female,2,2,5,7,1,2,2,3,4,1
115,30-44,"$20,000 to $24,999",Good,Everyday,Never,Self-employed full-time,"Urban near mix of offices, apartments and shops",Never married,HS graduate or equivalent,Hispanic,Male,2,2,3,7,1,7,2,2,2,2
116,18-29,"$25,000 to $29,999",Good,Never,Never,Unemployed and looking for work,Rural area,Living with partner,Some college,Hispanic,Male,2,1,3,1,1,6,1,4,3,2
117,18-29,"$100,000 to $124,999",Excellent,Everyday,Never,Employed full-time,Rural area,Never married,Some college,"White, non-Hispanic",Male,6,1,5,7,1,2,1,2,3,1
118,30-44,"$40,000 to $49,999",Good,Several times a week,Never,Unemployed and looking for work,Suburban and mostly residential,Never married,Some college,"2+, non-Hispanic",Male,3,2,3,6,1,6,2,2,3,3
119,60+,"$75,000 to $84,999",Fair,Several times a week,Never,Employed full-time,Suburban and mostly residential,Married,BA or above,Hispanic,Female,2,4,2,6,1,2,2,3,4,2
120,18-29,"$85,000 to $99,999",Very good,Once every 2 or 3 weeks,Sometimes,Or are you not in the labor force for other reasons,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Female,3,1,4,4,3,5,2,3,3,1
121,45-59,"$30,000 to $34,999",Fair,Everyday,Sometimes,Retired and not working at all,Suburban and mostly residential,Divorced,Some college,"White, non-Hispanic",Male,1,3,2,7,3,4,2,6,3,1
122,18-29,"$20,000 to $24,999",Excellent,Everyday,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Female,2,1,5,7,3,2,2,3,4,1
123,45-59,"$5,000 to $9,999",Fair,Less than monthly,Often,Unemployed and looking for work,"Urban near mix of offices, apartments and shops",Divorced,Some college,"White, non-Hispanic",Female,1,3,2,2,4,6,2,6,3,1
124,18-29,"$20,000 to $24,999",Very good,Everyday,Rarely,Employed full-time,Rural area,Never married,HS graduate or equivalent,Hispanic,Male,5,1,4,7,2,2,1,2,2,2
125,45-59,"$125,000 to $149,999",Very good,Once a week,Never,Employed full-time,"Urban near mix of offices, apartments and shops",Married,BA or above,"Asian, non-Hispanic",Female,4,3,4,5,1,2,2,3,4,5
126,45-59,"$25,000 to $29,999",Very good,Several times a week,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,Some college,"White, non-Hispanic",Male,1,3,4,6,3,2,2,2,3,1
128,60+,"$60,000 to $74,999",Good,Several times a week,Rarely,Employed part-time,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Male,2,4,3,6,2,3,2,3,3,1
129,30-44,"$85,000 to $99,999",Good,Several times a week,Rarely,Employed full-time,Urban and mostly residential,Living with partner,BA or above,"White, non-Hispanic",Female,2,2,3,6,2,2,2,4,4,1
130,18-29,"$50,000 to $59,999",Excellent,Several times a week,Rarely,Employed full-time,Suburban and mostly residential,Never married,BA or above,"Asian, non-Hispanic",Male,2,1,5,6,2,2,2,2,4,5
131,60+,"$15,000 to $19,999",Good,Everyday,Never,Retired and not working at all,Urban and mostly residential,Divorced,HS graduate or equivalent,"White, non-Hispanic",Female,2,4,3,7,1,4,2,6,2,1
132,30-44,"$25,000 to $29,999",Poor,Several times a week,Often,Or are you not in the labor force for other reasons,"Urban near mix of offices, apartments and shops",Never married,Some college,"White, non-Hispanic",Male,1,2,1,6,4,5,2,2,3,1
133,45-59,"$50,000 to $59,999",Good,Several times a week,Rarely,Employed part-time,Small town,Married,Some college,"White, non-Hispanic",Female,4,3,3,6,2,3,1,3,3,1
134,45-59,"$60,000 to $74,999",Very good,Less than monthly,Never,Employed part-time,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,2,3,4,2,1,3,2,3,4,1
135,45-59,"$75,000 to $84,999",Fair,Everyday,Never,Retired and not working at all,Small town,Married,BA or above,"White, non-Hispanic",Female,3,3,2,7,1,4,1,3,4,1
136,18-29,"$85,000 to $99,999",Excellent,Everyday,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,BA or above,"Asian, non-Hispanic",Male,4,1,5,7,1,2,2,2,4,5
137,60+,"$40,000 to $49,999",Very good,Everyday,Rarely,Retired and not working at all,Urban and mostly residential,Widowed,Some college,"Asian, non-Hispanic",Female,1,4,4,7,2,4,2,1,3,5
138,45-59,"$30,000 to $34,999",Good,Several times a week,Sometimes,Employed full-time,Urban and mostly residential,Divorced,Some college,Hispanic,Female,2,3,3,6,3,2,2,6,3,2
139,18-29,"$15,000 to $19,999",Very good,Everyday,Often,Employed full-time,Small town,Never married,HS graduate or equivalent,"Black, non-Hispanic",Male,3,1,4,7,4,2,1,2,2,4
140,30-44,"$85,000 to $99,999",Excellent,Several times a week,Sometimes,Employed part-time,Urban and mostly residential,Married,BA or above,Hispanic,Female,6,2,5,6,3,3,2,3,4,2
141,60+,"$50,000 to $59,999",Good,Several times a week,Sometimes,Retired and not working at all,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Male,2,4,3,6,3,4,2,3,3,1
142,45-59,"$100,000 to $124,999",Very good,Several times a week,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Divorced,BA or above,"White, non-Hispanic",Male,1,3,4,6,1,2,2,6,4,1
143,45-59,"$150,000 to $174,999",Good,Several times a week,Sometimes,Employed full-time,Suburban and mostly residential,Separated,BA or above,"White, non-Hispanic",Male,6,3,3,6,3,2,2,5,4,1
144,18-29,"$40,000 to $49,999",Excellent,Everyday,Sometimes,Employed full-time,Urban and mostly residential,Never married,Some college,"White, non-Hispanic",Male,4,1,5,7,3,2,2,2,3,1
145,60+,"$100,000 to $124,999",Excellent,Once a week,Never,Retired and not working at all,"Urban near mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Female,2,4,5,5,1,4,2,3,3,1
